-8.9601,-10.398,-8.5728
-8.9605,-10.397,4.6045
-3.3305,-9.9205,-3.2525
-9.8649,-3.8853,-3.5665
-8.9534,-9.8922,-3.1095
-3.3309,-9.9192,9.9247
-9.8653,-3.884,9.6107
-8.9538,-9.8909,10.068
10.151,-9.2407,-9.3183
9.4166,-3.7861,-9.6893
10.15,-9.2394,3.8589
9.4162,-3.7848,3.4879
8.4906,-9.9996,-2.7041
10.141,-3.9467,-3.7561
8.4901,-9.9983,10.473
10.141,-3.9454,9.4211
-2.7997,-9.9574,-9.4322
-9.0279,-3.5255,-9.2762
3.5883,-4.0035,-10.1
-2.4518,3.3631,-9.3202
2.5913,-9.1343,-9.3482
-3.0359,-2.3136,-9.3162
-3.1858,8.8177,-9.6912
3.7142,2.2742,-8.5732
-2.8001,-9.9561,3.745
-9.0283,-3.5242,3.901
3.5879,-4.0022,3.077
-2.4522,3.3644,3.857
2.5908,-9.133,3.829
-3.0363,-2.3122,3.861
-3.1862,8.819,3.486
3.7137,2.2755,4.604
2.5654,-4.3445,-3.155
-4.1118,2.6043,-2.706
9.3437,2.7521,-3.253
2.8093,8.7872,-3.567
3.1919,-9.3437,-2.7
-3.5971,-1.6355,-2.805
-2.4614,8.6571,-3.758
3.7208,2.7803,-3.11
2.5649,-4.3431,10.022
-4.1123,2.6056,10.471
9.3433,2.7534,9.9242
2.8089,8.7885,9.6102
3.1914,-9.3424,10.477
-3.5975,-1.6342,10.372
-2.4619,8.6584,9.4192
3.7204,2.7817,10.067
-9.0141,8.6003,-10.102
-10.011,3.4695,-9.3501
-9.0145,8.6016,3.0751
-10.012,3.4709,3.8271
-10.037,8.2594,-3.1569
-9.4105,3.2601,-2.7019
-10.037,8.2607,10.02
-9.411,3.2615,10.475
9.8745,2.7152,-9.4327
3.6463,9.147,-9.2767
9.6383,10.359,-9.3167
9.8741,2.7165,3.7445
3.6459,9.1483,3.9005
9.6379,10.36,3.8605
9.0772,11.037,-2.8055
9.0767,11.038,10.372
-10.449,-3.2092,-9.5998
-9.233,-9.1086,-9.3708
-10.449,-3.2079,3.5775
-9.2334,-9.1073,3.8065
-9.8578,-9.8957,-1.8945
-9.8582,-9.8944,11.283
9.0532,-9.4812,-10.369
9.8395,-3.3053,-8.3353
9.0527,-9.4798,2.8079
9.839,-3.304,4.8419
9.6927,-9.2274,-3.2041
2.8472,-9.9932,-3.9731
9.6922,-9.2261,9.9731
2.8467,-9.9919,9.2041
3.7736,-3.2158,-8.8382
-3.5492,3.1227,-10.371
-2.0176,-8.6789,-9.3742
2.2257,9.4633,-9.6002
-3.3067,-3.1854,-10.475
3.2651,-8.9158,-10.668
3.4412,3.5639,-9.3712
-2.7629,9.2986,-8.3372
3.7731,-3.2145,4.339
-3.5497,3.124,2.806
-2.0181,-8.6776,3.803
2.2253,9.4646,3.577
-3.3071,-3.1841,2.702
3.2647,-8.9145,2.509
3.4408,3.5652,3.806
-2.7634,9.2999,4.84
-3.2188,-9.4003,-1.863
-9.1768,-3.578,-2.271
3.6091,-3.3899,-2.635
-2.9097,3.3764,-3.206
